date,open,high,low,close,volume,amount,ma_short,ma_long,signal,position,buy_signal,sell_signal,name,ticker
2024-02-20,27.19,27.29,26.28,26.98,1116352.11,2980169.056,27.972,27.517333333333333,1,1,,,立讯精密,002475.SZ
2024-02-21,26.66,27.88,26.5,27.47,865388.29,2372792.197,27.822000000000003,27.397333333333332,1,1,,,立讯精密,002475.SZ
2024-02-22,27.48,27.66,27.08,27.6,605720.42,1659768.55,27.695999999999998,27.300666666666665,1,1,,,立讯精密,002475.SZ
2024-02-23,27.5,27.58,26.74,27.16,1044899.05,2824126.847,27.339999999999996,27.16933333333333,1,1,,,立讯精密,002475.SZ
2024-02-26,27.07,27.86,26.71,27.43,1021539.57,2778574.239,27.328000000000003,27.14333333333333,1,1,,,立讯精密,002475.SZ
2024-02-27,27.15,28.11,27.05,28.11,1109042.31,3064076.548,27.554000000000002,27.206666666666667,1,1,,,立讯精密,002475.SZ
2024-02-28,28.12,28.59,27.17,27.17,1288688.24,3577996.983,27.494,27.25,1,1,,,立讯精密,002475.SZ
2024-02-29,26.9,27.66,26.76,27.58,1213736.22,3316658.334,27.490000000000002,27.389333333333333,1,1,,,立讯精密,002475.SZ
2024-03-01,27.45,28.44,27.3,28.34,1378964.33,3858537.359,27.726,27.555333333333337,1,1,,,立讯精密,002475.SZ
2024-03-04,28.58,28.82,27.66,28.01,1165900.07,3272789.949,27.842000000000002,27.714000000000002,1,1,,,立讯精密,002475.SZ
2024-03-05,27.66,28.49,27.45,28.19,1213815.44,3400763.491,27.858000000000004,27.794666666666668,1,1,,,立讯精密,002475.SZ
2024-03-06,27.75,28.68,27.3,27.96,1248213.01,3481125.658,28.016000000000002,27.777333333333335,1,1,,,立讯精密,002475.SZ
2024-03-07,27.74,28.02,27.18,27.18,975540.58,2684561.497,27.936,27.707333333333334,1,1,,,立讯精密,002475.SZ
2024-03-08,27.33,27.68,27.05,27.56,856905.0,2347920.404,27.78,27.615333333333336,1,1,,,立讯精密,002475.SZ
2024-03-11,27.36,28.3,27.07,28.26,1275929.19,3558325.671,27.830000000000002,27.666666666666668,1,1,,,立讯精密,002475.SZ
2024-03-12,28.24,28.76,28.12,28.49,1031778.65,2932752.551,27.889999999999997,27.767333333333333,1,1,,,立讯精密,002475.SZ
2024-03-13,28.49,28.64,28.19,28.25,614537.04,1743565.052,27.947999999999997,27.819333333333336,1,1,,,立讯精密,002475.SZ
2024-03-14,28.16,28.18,27.33,27.56,886457.52,2453006.387,28.024,27.816666666666666,1,1,,,立讯精密,002475.SZ
2024-03-15,27.45,27.78,27.35,27.77,571639.98,1575093.637,28.065999999999995,27.857333333333333,1,1,,,立讯精密,002475.SZ
2024-03-18,27.8,28.18,27.61,28.04,910106.63,2539839.82,28.022000000000002,27.898000000000003,1,1,,,立讯精密,002475.SZ
2024-03-19,28.1,29.9,27.95,29.46,2286726.17,6701403.148,28.215999999999998,27.988,1,1,,,立讯精密,002475.SZ
2024-03-20,29.54,30.57,29.45,29.65,1777071.39,5320563.308,28.496,28.153333333333332,1,1,,,立讯精密,002475.SZ
2024-03-21,30.06,30.35,29.6,29.73,1131200.0,3383200.424,28.929999999999996,28.296666666666667,1,1,,,立讯精密,002475.SZ
2024-03-22,29.96,32.28,29.85,31.84,2392358.15,7459121.64,29.744,28.530000000000005,1,1,,,立讯精密,002475.SZ
2024-03-25,31.5,31.6,30.36,30.47,1574341.03,4852813.285,30.23,28.694,1,1,,,立讯精密,002475.SZ
2024-03-26,30.0,31.29,29.99,30.95,1170034.25,3602634.666,30.528,28.877999999999997,1,1,,,立讯精密,002475.SZ
2024-03-27,30.45,30.64,29.41,29.41,933050.65,2790902.241,30.48,28.974666666666668,1,1,,,立讯精密,002475.SZ
2024-03-28,29.4,30.2,29.2,29.75,729429.48,2170592.445,30.483999999999998,29.146,1,1,,,立讯精密,002475.SZ
2024-03-29,29.51,29.76,28.88,29.41,688430.16,2013985.449,29.998,29.269333333333332,1,1,,,立讯精密,002475.SZ
